otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title	^physcraper:in_current_aln
otu251229	Polypedates leucomystax	1054138	68444	-	None	True	original	Polypedates_leucomystax	-	True
otu251228	Polypedates mutus	40177	127175	-	None	True	original	Polypedates_mutus	-	True
otu251227	Polypedates megacephalus	908329	68449	-	None	True	original	Polypedates_megacephalus	-	True
otu251231	Polypedates maculatus	687990	143439	-	None	True	original	Polypedates_maculatus	-	True
otu251230	Polypedates cruciger	579675	129027	-	None	True	original	Polypedates_cruciger	-	True
otu251222	Rhacophorus rhodopus	661090	198313	-	None	True	original	Rhacophorus_rhodopus	-	True
otu251220	Rhacophorus kio	836679	493789	-	None	True	original	Rhacophorus_kio	-	True
otu251219	Rhacophorus reinwardtii	525154	161706	-	None	True	original	Rhacophorus_reinwardtii	-	True
otu251218	Rhacophorus lateralis	714952	311822	-	None	True	deleted from tree in reconciliation	Rhacophorus_lateralis	-	False
otu251221	Rhacophorus bipunctatus	648330	191205	-	None	True	original	Rhacophorus_bipunctatus	-	True
otu251225	Rhacophorus orlovi	906685	377302	-	None	True	original	Rhacophorus_orlovi	-	True
otu251226	Rhacophorus annamensis	648332	191204	-	None	True	original	Rhacophorus_annamensis	-	True
otu251224	Rhacophorus malabaricus	6995	129031	-	None	True	original	Rhacophorus_malabaricus	-	True
otu251223	Rhacophorus calcaneus	492497	356244	-	None	True	original	Rhacophorus_calcaneus	-	True
otu251217	Rhacophorus feae	97850	462322	-	None	True	original	Rhacophorus_feae	-	True
otu251216	Rhacophorus dennysi	10695	143444	-	None	True	original	Rhacophorus_dennysi	-	True
otu251212	Rhacophorus schlegelii	760265	210202	-	None	True	original	Rhacophorus_schlegelii	-	True
otu251211	Rhacophorus arboreus	233504	68419	-	None	True	original	Rhacophorus_arboreus	-	True
otu251210	Rhacophorus moltrechti	573798	28437	-	None	True	original	Rhacophorus_moltrechti	-	True
otu251209	Rhacophorus burmanus	258437	1202786	-	None	True	original	Rhacophorus_taronensis	-	True
otu251208	Rhacophorus omeimontis	97888	462328	-	None	True	original	Rhacophorus_omeimontis	-	True
otu251206	Rhacophorus minimus	97876	462326	-	None	True	original	Rhacophorus_minimus	-	True
otu251207	Rhacophorus hui	1053404	493776	-	None	True	original	Rhacophorus_hui	-	True
otu251205	Rhacophorus hungfuensis	1053398	493778	-	None	True	original	Rhacophorus_hungfuensis	-	True
otu251204	Rhacophorus dugritei	97857	462321	-	None	True	original	Rhacophorus_dugritei	-	True
otu251203	Rhacophorus puerensis	836667	493782	-	None	True	original	Rhacophorus_puerensis	-	True
otu251213	Rhacophorus nigropunctatus	97870	462327	-	None	True	original	Rhacophorus_nigropunctatus	-	True
otu251214	Rhacophorus chenfui	97864	462320	-	None	True	original	Rhacophorus_chenfui	-	True
otu251215	Rhacophorus maximus	97879	462324	-	None	True	original	Rhacophorus_maximus	-	True
otu251240	Ghatixalus variabilis	141759	488252	-	None	True	deleted from tree in reconciliation	Ghatixalus_variabilis	-	False
otu251199	Philautus ingeri	346761	311815	-	None	True	original	Philautus_ingeri	-	True
otu251198	Philautus abditus	116906	670915	-	None	True	original	Philautus_abditus	-	True
otu251197	Philautus aurifasciatus	554589	209479	-	None	True	deleted from tree in reconciliation	Philautus_aurifasciatus	-	False
otu251193	Philautus petersi	908338	68443	-	None	True	deleted from tree in reconciliation	Philautus_petersi	-	False
otu251194	Philautus mjobergi	283925	68430	-	None	True	deleted from tree in reconciliation	Philautus_mjobergi	-	False
otu251195	Philautus surdus	594721	191203	-	None	True	deleted from tree in reconciliation	Philautus_surdus	-	False
otu251196	Philautus acutirostris	594728	191202	-	None	True	deleted from tree in reconciliation	Philautus_acutirostris	-	False
otu251202	Gracixalus jinxiuensis	723742	462318	-	None	True	original	Kurixalus_jinxiuensis	-	True
otu251201	Gracixalus gracilipes	714945	311824	-	None	True	original	Gracixalus_gracilipes	-	True
otu251200	Gracixalus quyeti	106558	573974	-	None	True	deleted from tree in reconciliation	Philautus_quyeti	-	False
otu251171	Raorchestes gryllus	116915	670916	-	None	True	original	Philautus_gryllus	-	True
otu251170	Raorchestes menglaensis	660946	584662	-	None	True	original	Philautus_menglaensis	-	True
otu251168	Raorchestes tuberohumerus	245027	520855	-	None	True	deleted from tree in reconciliation	Philautus_tuberohumerus	-	False
otu251169	Raorchestes bombayensis	819739	520860	-	None	True	deleted from tree in reconciliation	Philautus_bombayensis	-	False
otu251172	Raorchestes longchuanensis	116920	670918	-	None	True	original	Philautus_longchuanensis	-	True
otu251173	Raorchestes ponmudi	295317	520873	-	None	True	deleted from tree in reconciliation	Philautus_ponmudi	-	False
otu251177	Raorchestes griet	118181	204714	-	None	True	deleted from tree in reconciliation	Philautus_griet	-	False
otu251176	Raorchestes charius	579684	129025	-	None	True	original	Philautus_charius	-	True
otu251174	Raorchestes tinniens	826149	302745	-	None	True	deleted from tree in reconciliation	Philautus_tinniens	-	False
otu251175	Raorchestes signatus	33622	209480	-	None	True	deleted from tree in reconciliation	Philautus_signatus	-	False
otu251182	Raorchestes bobingeri	917438	520859	-	None	True	deleted from tree in reconciliation	Philautus_bobingeri	-	False
otu251183	Raorchestes anili	917385	520857	-	None	True	deleted from tree in reconciliation	Philautus_anili	-	False
otu251179	Philautus neelanethrus	3618500	0	-	None	True	deleted from tree in reconciliation	Philautus_neelanethrus	-	False
otu251178	Raorchestes travancoricus	295306	520875	-	None	True	deleted from tree in reconciliation	Philautus_travancoricus	-	False
otu251180	Raorchestes nerostagona	295314	520872	-	None	True	deleted from tree in reconciliation	Philautus_nerostagona	-	False
otu251181	Raorchestes graminirupes	819734	520866	-	None	True	deleted from tree in reconciliation	Philautus_graminirupes	-	False
otu251184	Raorchestes glandulosus	360209	520854	-	None	True	deleted from tree in reconciliation	Philautus_glandulosus	-	False
otu251185	Raorchestes beddomii	917424	520858	-	None	True	deleted from tree in reconciliation	Philautus_beddomii	-	False
otu251167	Pseudophilautus zorro	517474	690711	-	None	True	deleted from tree in reconciliation	Philautus_zorro	-	False
otu251166	Pseudophilautus wynaadensis	135678	130794	-	None	True	original	Philautus_wynaadensis	-	True
otu251165	Pseudophilautus leucorhinus	755942	305819	-	None	True	deleted from tree in reconciliation	Philautus_leucorhinus	-	False
otu251164	Pseudophilautus simba	188004	690707	-	None	True	deleted from tree in reconciliation	Philautus_simba	-	False
otu251154	Pseudophilautus steineri	188012	690708	-	None	True	deleted from tree in reconciliation	Philautus_steineri	-	False
otu251155	Pseudophilautus microtympanum	579678	129024	-	None	True	original	Philautus_microtympanum	-	True
