otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title	^physcraper:in_current_aln
otu261035	Napothera crispifrons	1073087	1149651	-	2021/12/02	True	original	Napothera_crispifrons_FMNH_75755	-	True
otu261132	Napothera brevicaudata	502093	1743391	-	2021/12/02	True	original	Napothera_brevicaudata_AMNH_DOT2639	-	True
otu261085	Napothera brevicaudata	502093	1743391	-	2021/12/02	True	original	Napothera_brevicaudata_KUNHM_10351	-	True
otu261286	Napothera crassa	502091	201357	-	2021/12/02	True	original	Napothera_crassa_KUNHM_17805	-	True
otu261268	Napothera crassa	502091	201357	-	2021/12/02	True	original	Napothera_crassa_LSUMNS_B36469	-	True
otu261227	Ptilocichla mindanensis	446186	1149664	-	2021/12/02	True	original	Ptilocichla_mindanensis_KUNHM_19070	-	True
otu261084	Ptilocichla mindanensis	446186	1149664	-	2021/12/02	True	original	Ptilocichla_mindanensis_KUNHM_18187	-	True
otu261205	Ptilocichla leucogrammica	1073077	1149659	-	2021/12/02	True	original	Ptilocichla_leucogrammica_LSUMNS_B50350	-	True
otu261150	Ptilocichla falcata	446177	1149663	-	2021/12/02	True	original	Ptilocichla_falcata_KUNHM_12816	-	True
otu261245	Jabouilleia danjoui	451620	201332	-	2021/12/02	True	original	Jabouilleia_danjoui_AMNH_DOT10947	-	True
otu261058	Rimator malacoptilus	979996	1118840	-	2021/12/02	True	original	Rimator_malacoptilus_USNM_15204	-	True
otu261276	Rimator malacoptilus	979996	1118840	-	2021/12/02	True	original	Rimator_malacoptilus_USNM_15203	-	True
otu261298	Napothera epilepidota	502099	201358	-	2021/12/02	True	original	Napothera_epilepidota_LSUMNS_B52626	-	True
otu261277	Pellorneum albiventre	496775	1149649	-	2021/12/02	True	original	Pellorneum_albiventre_KUNHM_10145	-	True
otu261138	Pellorneum tickelli	31193	201360	-	2021/12/02	True	original	Pellorneum_tickelli_KUNHM_15242	-	True
otu261129	Pellorneum tickelli	31193	201360	-	2021/12/02	True	original	Pellorneum_tickelli_KUNHM_10186	-	True
otu261164	Pellorneum pyrrogenys	1073090	1149650	-	2021/12/02	True	original	Pellorneum_pyrrogenys_KUNHM_17798	-	True
otu261097	Trichastoma bicolor	26168	135979	-	2021/12/02	True	original	Trichastoma_bicolor_LSUMNS_B36396	-	True
otu261250	Trichastoma rostratum	1022708	1149679	-	2021/12/02	True	original	Trichastoma_rostratum_KUNHM_17713	-	True
otu261140	Trichastoma celebense	641384	1149674	-	2021/12/02	True	original	Trichastoma_celebense_AMNH_DOT12612	-	True
otu261077	Malacocincla cinereiceps	496784	1149642	-	2021/12/02	True	original	Malacocincla_cinereiceps_KUNHM_12693	-	True
otu261116	Malacocincla malaccensis	28218	1792496	-	2021/12/02	True	original	Malacocincla_malaccensis_KUNHM_12341	-	True
otu261095	Malacocincla malaccensis	28218	1792496	-	2021/12/02	True	original	Malacocincla_malaccensis_KUNHM_17776	-	True
otu261241	Pellorneum ruficeps	243729	98146	-	2021/12/02	True	original	Pellorneum_ruficeps_USNM_6133	-	True
otu261166	Pellorneum ruficeps	243729	98146	-	2021/12/02	True	original	Pellorneum_ruficeps_USNM_2155	-	True
otu261315	Pellorneum capistratum	265354	589853	-	2021/12/02	True	original	Pellorneum_capistratum_LSUMNS_B36430	-	True
otu261114	Yuhina diademata	697080	181636	-	2021/12/02	True	original	Yuhina_diademata_KUNHM_11118	-	True
otu261310	Yuhina everetti	697079	181637	-	2021/12/02	True	original	Yuhina_everetti_KUNHM_17756	-	True
otu261112	Yuhina castaniceps	684691	340025	-	2021/12/02	True	original	Yuhina_castaniceps_KUNHM_10367	-	True
otu261187	Yuhina castaniceps	684691	340025	-	2021/12/02	True	original	Yuhina_castaniceps_KUNHM_13784	-	True
otu261039	Stachyris dennistouni	174120	181629	-	2021/12/02	True	original	Stachyris_dennistouni_USNM_3621	-	True
